configuration_index,lowpass_hz,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,fit_runtime_s,feature_names_json,coefficients_json,equations
15,35.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,20,0.157551989890635,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.04511197062077716, 179.86436963579678, -284.7976236589027, 140.4107362623408, -38.50668159455044], [0.08857122577176753, 54.656745131028906, 35.5790981939324, -108.22091536937874, 18.744039766504333], [-0.025426635024931834, -18.736556455272684, 108.15528641753417, -35.44208641563904, -54.74053648001973], [-0.006775361500825447, 38.510689986199786, -140.36586966638643, 284.7007696900725, -179.81324749974843]]",(x0)' = -0.045 1 +  179.864 x0 + -284.798 x1 +  140.411 x2 + -38.507 x3 | (x1)' =  0.089 1 +  54.657 x0 +  35.579 x1 + -108.221 x2 +  18.744 x3 | (x2)' = -0.025 1 + -18.737 x0 +  108.155 x1 + -35.442 x2 + -54.741 x3 | (x3)' = -0.007 1 +  38.511 x0 + -140.366 x1 +  284.701 x2 + -179.813 x3
16,35.0,1,4,5,20.0,60.0,0,0.0,finite_difference,success,,20,0.14487587474286556,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.22045373993547165, 21.108672573778872, -46.51522017253617, 14.368691197466681, 3.8547592557197414], [-0.09860577568903164, 34.35953326736726, 1.3914293122633126, -41.23055694925508, 8.042968722477907], [0.20832364652921753, -8.02901949442463, 41.24484180490069, -1.4124844637052316, -34.363311024678744], [-0.43131412436916683, -3.8621076820927382, -14.411088250422699, 46.57536696388502, -21.140869716342042]]",(x0)' = -0.220 1 +  21.109 x0 + -46.515 x1 +  14.369 x2 +  3.855 x3 | (x1)' = -0.099 1 +  34.360 x0 +  1.391 x1 + -41.231 x2 +  8.043 x3 | (x2)' =  0.208 1 + -8.029 x0 +  41.245 x1 + -1.412 x2 + -34.363 x3 | (x3)' = -0.431 1 + -3.862 x0 + -14.411 x1 +  46.575 x2 + -21.141 x3
17,35.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,20,0.1587201338261366,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.2289662952007779, 21.447988160319156, -47.0234558475724, 14.77202636756719, 3.640916448954667], [-0.09905201244534563, 34.400500364783085, 1.4759752760276885, -41.498476897821085, 8.22987253740726], [0.20785382552362544, -8.216731623619227, 41.51338964885808, -1.497610925465812, -34.40341516001072], [-0.4197830130575594, -3.6479635861668, -14.81454888501625, 47.08284205628144, -21.47957317809065]]",(x0)' = -0.229 1 +  21.448 x0 + -47.023 x1 +  14.772 x2 +  3.641 x3 | (x1)' = -0.099 1 +  34.401 x0 +  1.476 x1 + -41.498 x2 +  8.230 x3 | (x2)' =  0.208 1 + -8.217 x0 +  41.513 x1 + -1.498 x2 + -34.403 x3 | (x3)' = -0.420 1 + -3.648 x0 + -14.815 x1 +  47.083 x2 + -21.480 x3
18,35.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,20,0.15991097781807184,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.20252050626971452, 25.13445868803501, -52.20754668006434, 18.93145123370612, 1.2728248082062845], [-0.14494075868786432, 34.32265593698771, 2.509738464410348, -43.78499848797858, 9.868244632639911], [0.2415705972355962, -9.861346893541695, 43.80944108818808, -2.5419493846025656, -34.31862293526559], [-0.37833979330139234, -1.279369243360891, -18.973531801988386, 52.26564276376744, -25.163591523942088]]",(x0)' = -0.203 1 +  25.134 x0 + -52.208 x1 +  18.931 x2 +  1.273 x3 | (x1)' = -0.145 1 +  34.323 x0 +  2.510 x1 + -43.785 x2 +  9.868 x3 | (x2)' =  0.242 1 + -9.861 x0 +  43.809 x1 + -2.542 x2 + -34.319 x3 | (x3)' = -0.378 1 + -1.279 x0 + -18.974 x1 +  52.266 x2 + -25.164 x3
19,35.0,1,6,1,4.0,20.0,0,0.0,finite_difference,success,,42,0.2640855582430959,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[-0.027973137748892585, 601.2207869703634, -1416.4436732202275, 1586.7710531174075, -1175.6346855813006, 497.6029799183101, -93.80954002515456], [-0.022207468536809574, 125.26175700344551, -1.1807117992883767, -122.60964908363768, -2.610675370815301, 1.4906719243972442, -0.3506672349001362], [0.0012413144489679777, 0.46650099674545614, 122.87219657589277, 4.149284307749957, -129.28156378163746, 2.32771102761375, -0.5337927277341353], [0.022860120324975468, 0.3342661723038586, -1.5220433381207106, 127.87082782989762, -2.8187882834276774, -123.53724918561565, -0.3271270023100524], [0.03237778305012174, -0.09422455801268334, 0.4137508852256241, -0.9147032910915825, 126.12588332083571, -0.7003831591619896, -124.83086437023799], [0.016093186265044836, 93.34293391410307, -495.56008755422437, 1171.7828821945272, -1582.8656632407158, 1414.3172726448283, -600.7242640459073]]",(x0)' = -0.028 1 +  601.221 x0 + -1416.444 x1 +  1586.771 x2 + -1175.635 x3 +  497.603 x4 + -93.810 x5 | (x1)' = -0.022 1 +  125.262 x0 + -1.181 x1 + -122.610 x2 + -2.611 x3 +  1.491 x4 + -0.351 x5 | (x2)' =  0.001 1 +  0.467 x0 +  122.872 x1 +  4.149 x2 + -129.282 x3 +  2.328 x4 + -0.534 x5 | (x3)' =  0.023 1 +  0.334 x0 + -1.522 x1 +  127.871 x2 + -2.819 x3 + -123.537 x4 + -0.327 x5 | (x4)' =  0.032 1 + -0.094 x0 +  0.414 x1 + -0.915 x2 +  126.126 x3 + -0.700 x4 + -124.831 x5 | (x5)' =  0.016 1 +  93.343 x0 + -495.560 x1 +  1171.783 x2 + -1582.866 x3 +  1414.317 x4 + -600.724 x5
20,35.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,42,0.26689909026026726,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[-0.03239472719254418, 606.9524134744831, -1438.566878339015, 1622.6635482267811, -1206.1363259772975, 511.0804136087498, -96.26290820000072], [-0.025581322100121148, 125.29109443654933, -1.3778000548893987, -122.08828248358753, -3.286504511072322, 1.9242147928737847, -0.46210836688151796], [0.00023085512765255888, 0.6275859114263056, 122.12724385754152, 5.615203676077987, -130.80473531836597, 3.160125168839797, -0.7250578019282701], [0.02504006059769586, 0.4729416566459736, -2.114655170332495, 128.92945620131252, -3.80763953483759, -123.05177967048537, -0.42827624092447875], [0.03729507954338886, -0.12266055827198528, 0.6008982565652049, -1.412228239057088, 126.78299995886191, -1.1315892503673057, -124.71775183819918], [0.021311135033826357, 95.64793332080538, -508.3858992130697, 1201.06169590714, -1617.5352846505896, 1435.7893007878247, -606.3079767239441]]",(x0)' = -0.032 1 +  606.952 x0 + -1438.567 x1 +  1622.664 x2 + -1206.136 x3 +  511.080 x4 + -96.263 x5 | (x1)' = -0.026 1 +  125.291 x0 + -1.378 x1 + -122.088 x2 + -3.287 x3 +  1.924 x4 + -0.462 x5 | (x2)' =  0.628 x0 +  122.127 x1 +  5.615 x2 + -130.805 x3 +  3.160 x4 + -0.725 x5 | (x3)' =  0.025 1 +  0.473 x0 + -2.115 x1 +  128.929 x2 + -3.808 x3 + -123.052 x4 + -0.428 x5 | (x4)' =  0.037 1 + -0.123 x0 +  0.601 x1 + -1.412 x2 +  126.783 x3 + -1.132 x4 + -124.718 x5 | (x5)' =  0.021 1 +  95.648 x0 + -508.386 x1 +  1201.062 x2 + -1617.535 x3 +  1435.789 x4 + -606.308 x5
21,35.0,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,42,0.26550797559320927,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[-0.014557767140483263, 639.117345843983, -1561.5152248750514, 1817.42500828005, -1364.569156016189, 576.0482191692811, -106.64282593560914], [0.027745113059003193, 133.8438446509054, -39.29510269939692, -50.99658892269503, -73.6154901434824, 38.554086957123545, -8.482924386644566], [0.03755651239036527, 10.21123384345448, 79.26885611840325, 86.36121239860968, -210.919967636631, 45.05410151437095, -9.97300951382254], [0.026499154637461123, 5.945093877424651, -26.973173798832725, 176.3720164351976, -51.473378954755695, -97.72841618275433, -6.1470933899232625], [0.025630094830169987, -1.2224443593809662, 5.21772298564061, -9.750932613312848, 134.7105274026855, -4.945027314723721, -124.01828924076449], [0.029423288927065135, 96.7257082604104, -531.4360118121559, 1279.8785149130129, -1732.5560025714597, 1516.5896862278694, -629.0633941049019]]",(x0)' = -0.015 1 +  639.117 x0 + -1561.515 x1 +  1817.425 x2 + -1364.569 x3 +  576.048 x4 + -106.643 x5 | (x1)' =  0.028 1 +  133.844 x0 + -39.295 x1 + -50.997 x2 + -73.615 x3 +  38.554 x4 + -8.483 x5 | (x2)' =  0.038 1 +  10.211 x0 +  79.269 x1 +  86.361 x2 + -210.920 x3 +  45.054 x4 + -9.973 x5 | (x3)' =  0.026 1 +  5.945 x0 + -26.973 x1 +  176.372 x2 + -51.473 x3 + -97.728 x4 + -6.147 x5 | (x4)' =  0.026 1 + -1.222 x0 +  5.218 x1 + -9.751 x2 +  134.711 x3 + -4.945 x4 + -124.018 x5 | (x5)' =  0.029 1 +  96.726 x0 + -531.436 x1 +  1279.879 x2 + -1732.556 x3 +  1516.590 x4 + -629.063 x5
22,35.0,1,6,2,8.0,40.0,0,0.0,finite_difference,success,,42,0.2432282418012619,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[-0.0266040418108511, 196.92329558606846, -356.50026740003375, 275.3989294232418, -183.30534114383804, 85.73694794960004, -20.338562142175338], [0.028732947326054803, 47.4805196937069, 62.63942078659468, -155.73783601573015, 67.41967499339708, -27.893313901690842, 6.47105095961246], [0.03441376559685414, -9.699227774888778, 76.20861515042445, 17.496674794579484, -106.16829110691552, 27.659762497284266, -5.705415101529105], [-0.033392904684550896, 5.708607065181237, -27.661993297556332, 106.16390195685403, -17.49444042792175, -76.20477477378535, 9.695829532109807], [-0.018125050018882375, -6.465575188065134, 27.874402959115482, -67.3873359036974, 155.6992585337101, -62.60800874988072, -47.49224457922498], [-0.048646257806735864, 20.315949967571942, -85.65927145838553, 183.17960760022203, -275.2855870621489, 356.45325320441486, -196.92128617980563]]",(x0)' = -0.027 1 +  196.923 x0 + -356.500 x1 +  275.399 x2 + -183.305 x3 +  85.737 x4 + -20.339 x5 | (x1)' =  0.029 1 +  47.481 x0 +  62.639 x1 + -155.738 x2 +  67.420 x3 + -27.893 x4 +  6.471 x5 | (x2)' =  0.034 1 + -9.699 x0 +  76.209 x1 +  17.497 x2 + -106.168 x3 +  27.660 x4 + -5.705 x5 | (x3)' = -0.033 1 +  5.709 x0 + -27.662 x1 +  106.164 x2 + -17.494 x3 + -76.205 x4 +  9.696 x5 | (x4)' = -0.018 1 + -6.466 x0 +  27.874 x1 + -67.387 x2 +  155.699 x3 + -62.608 x4 + -47.492 x5 | (x5)' = -0.049 1 +  20.316 x0 + -85.659 x1 +  183.180 x2 + -275.286 x3 +  356.453 x4 + -196.921 x5
23,35.0,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,42,0.26059014815837145,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[-0.02981443033151875, 199.15056459844504, -362.4044092564514, 282.9324288146957, -189.19147430200132, 88.4993678663546, -20.97872270255998], [0.030963111308156318, 47.096991477295305, 63.61717229971375, -156.89708330980233, 68.21270302131413, -28.173392038025032, 6.502451188099826], [0.038136987015967475, -9.555421886920772, 75.8781565970103, 17.806521193397845, -106.26779541829798, 27.587295634378684, -5.644283348281786], [-0.0360594556786088, 5.6510302396347685, -27.599353313271976, 106.2759101130792, -17.81358481144886, -75.87016392698571, 9.551050986319574], [-0.01976611072244133, -6.496795821697794, 28.152687874090855, -68.17402716607664, 156.84760299644134, -63.57563004535824, -47.112826921162764], [-0.04595130919566567, 20.953193260615745, -88.41278964765206, 189.05115486054856, -282.80423423090565, 362.3472791579244, -199.144466428381]]",(x0)' = -0.030 1 +  199.151 x0 + -362.404 x1 +  282.932 x2 + -189.191 x3 +  88.499 x4 + -20.979 x5 | (x1)' =  0.031 1 +  47.097 x0 +  63.617 x1 + -156.897 x2 +  68.213 x3 + -28.173 x4 +  6.502 x5 | (x2)' =  0.038 1 + -9.555 x0 +  75.878 x1 +  17.807 x2 + -106.268 x3 +  27.587 x4 + -5.644 x5 | (x3)' = -0.036 1 +  5.651 x0 + -27.599 x1 +  106.276 x2 + -17.814 x3 + -75.870 x4 +  9.551 x5 | (x4)' = -0.020 1 + -6.497 x0 +  28.153 x1 + -68.174 x2 +  156.848 x3 + -63.576 x4 + -47.113 x5 | (x5)' = -0.046 1 +  20.953 x0 + -88.413 x1 +  189.051 x2 + -282.804 x3 +  362.347 x4 + -199.144 x5
24,35.0,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,42,0.2610946921631694,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[-0.04601120266384922, 216.37472805915704, -409.08016195734285, 342.2527298938856, -233.5910041241776, 107.31266184612862, -24.551196257353386], [0.09182355962662381, 44.381416169145474, 70.53878959733257, -164.72611342097528, 72.88476968787334, -29.211777335000843, 6.343934354196696], [0.08027483998464849, -8.437197186184873, 73.12596147316387, 20.63735594104183, -107.41891245302038, 27.176399487522648, -5.19646392202541], [-0.062418527455359384, 5.030141653712899, -26.5083683973287, 106.2045676884166, -19.414276199221447, -73.83025861880446, 8.6300340877034], [-0.09936329666383939, -6.487203301066222, 29.739101415925088, -73.7886560867815, 165.58725431799078, -70.97683130776025, -44.28569418094993], [-0.020714050679718092, 24.653807053414603, -107.74213075053521, 234.4259738105537, -343.1714282676793, 409.6725017949157, -216.55756381719527]]",(x0)' = -0.046 1 +  216.375 x0 + -409.080 x1 +  342.253 x2 + -233.591 x3 +  107.313 x4 + -24.551 x5 | (x1)' =  0.092 1 +  44.381 x0 +  70.539 x1 + -164.726 x2 +  72.885 x3 + -29.212 x4 +  6.344 x5 | (x2)' =  0.080 1 + -8.437 x0 +  73.126 x1 +  20.637 x2 + -107.419 x3 +  27.176 x4 + -5.196 x5 | (x3)' = -0.062 1 +  5.030 x0 + -26.508 x1 +  106.205 x2 + -19.414 x3 + -73.830 x4 +  8.630 x5 | (x4)' = -0.099 1 + -6.487 x0 +  29.739 x1 + -73.789 x2 +  165.587 x3 + -70.977 x4 + -44.286 x5 | (x5)' = -0.021 1 +  24.654 x0 + -107.742 x1 +  234.426 x2 + -343.171 x3 +  409.673 x4 + -216.558 x5
25,35.0,1,6,5,20.0,100.0,0,0.0,finite_difference,success,,42,0.24749412294477224,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.24553306904727482, 20.160676654082184, -46.805190716679256, 15.190940370645468, 0.995580046512279, 5.730866633834525, -1.6194372491504263], [-0.21834675763631453, 35.151967564122174, 1.626161619354219, -41.96217126942718, 10.499509285190085, -4.927264121149879, 1.481241134933874], [0.1536673072426937, -10.064543039613715, 40.56726395812536, 0.40810471630327105, -40.48568778865316, 12.062492121629099, -3.1957756899430283], [-0.15809119214528072, 3.160399399950678, -12.043301505620144, 40.49426605912696, -0.4203018904433436, -40.57929395508882, 10.097158153691788], [0.3055471096695355, -1.4636610255043006, 4.925421635212348, -10.530711345020054, 42.00638103001142, -1.642740355624616, -35.163563462593345], [-0.7909458426358652, 1.6441165768496226, -5.763283403556661, -0.9114023566225974, -15.299541585708026, 46.85765360093158, -20.194062213193114]]",(x0)' =  0.246 1 +  20.161 x0 + -46.805 x1 +  15.191 x2 +  0.996 x3 +  5.731 x4 + -1.619 x5 | (x1)' = -0.218 1 +  35.152 x0 +  1.626 x1 + -41.962 x2 +  10.500 x3 + -4.927 x4 +  1.481 x5 | (x2)' =  0.154 1 + -10.065 x0 +  40.567 x1 +  0.408 x2 + -40.486 x3 +  12.062 x4 + -3.196 x5 | (x3)' = -0.158 1 +  3.160 x0 + -12.043 x1 +  40.494 x2 + -0.420 x3 + -40.579 x4 +  10.097 x5 | (x4)' =  0.306 1 + -1.464 x0 +  4.925 x1 + -10.531 x2 +  42.006 x3 + -1.643 x4 + -35.164 x5 | (x5)' = -0.791 1 +  1.644 x0 + -5.763 x1 + -0.911 x2 + -15.300 x3 +  46.858 x4 + -20.194 x5
26,35.0,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,42,0.2614159546792507,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.231475113770859, 20.492949158630683, -47.33130119469725, 15.63512994222395, 0.7117016396056618, 5.8105217975727905, -1.6381417016356201], [-0.21550085996686594, 35.22298698723835, 1.731413965294891, -42.29216879857905, 10.829839094931756, -5.16132067879211, 1.5577967946741123], [0.15604456622705248, -10.274873639500738, 40.809947851619114, 0.43958494791722263, -40.74606644579004, 12.395300476426065, -3.3677071813047217], [-0.16123609687562077, 3.3328096007492127, -12.376711624148756, 40.754792303647186, -0.45182563051226576, -40.821455635541525, 10.306863744542591], [0.3088587057932956, -1.5404845360004524, 5.160258256484542, -10.861501048798653, 42.33686796830497, -1.7486629633214437, -35.23394933329414], [-0.7786828549741667, 1.6631853187908876, -5.844066669449741, -0.6267325303029233, -15.74384323088065, 47.38297025316652, -20.525724232205995]]",(x0)' =  0.231 1 +  20.493 x0 + -47.331 x1 +  15.635 x2 +  0.712 x3 +  5.811 x4 + -1.638 x5 | (x1)' = -0.216 1 +  35.223 x0 +  1.731 x1 + -42.292 x2 +  10.830 x3 + -5.161 x4 +  1.558 x5 | (x2)' =  0.156 1 + -10.275 x0 +  40.810 x1 +  0.440 x2 + -40.746 x3 +  12.395 x4 + -3.368 x5 | (x3)' = -0.161 1 +  3.333 x0 + -12.377 x1 +  40.755 x2 + -0.452 x3 + -40.821 x4 +  10.307 x5 | (x4)' =  0.309 1 + -1.540 x0 +  5.160 x1 + -10.862 x2 +  42.337 x3 + -1.749 x4 + -35.234 x5 | (x5)' = -0.779 1 +  1.663 x0 + -5.844 x1 + -0.627 x2 + -15.744 x3 +  47.383 x4 + -20.526 x5
